Species,CommonName,Description
Copella arnoldi,Splash tetra,"A small freshwater fish native to South America, known for its unique breeding behavior. The female lays eggs on overhanging leaves, and the male keeps them moist by splashing water with his tail until they hatch. Usually grows up to 6 cm and is peaceful, making it popular in aquariums."
Hyphessobrycon pulchripinnis,Lemon tetra,"A schooling fish from the Amazon Basin with a translucent yellow body and bright lemon-colored fins. It grows up to 5 cm and prefers to live in groups. Hardy and peaceful, it adds vivid color to community aquariums."
Pethia gelius,Golden barb,"A small cyprinid fish native to India and Bangladesh. It has a bright golden body, usually reaching 5 cm in length. Active and schooling in nature, it is hardy and commonly kept in aquariums."
Hemigrammus ocellifer,Head-and-taillight tetra,"Found in South America, this tetra is named for its glowing spots near the head and tail. Growing up to 5 cm, it is peaceful and thrives in schools. Its “headlight and taillight” markings make it a favorite in community tanks."
Danio rerio,Zebra danio,"A striped freshwater fish from South Asia, widely used in research due to its transparent embryos and genetic similarities to humans. It grows up to 5 cm, is hardy, and thrives in groups. Active and easy to keep in aquariums."
Devario aequipinnatus,Giant danio,"A larger danio species found in rivers of South and Southeast Asia. It can grow up to 10-15 cm and has blue and gold horizontal stripes. Strong swimmers and very active, they are best kept in groups in large aquariums."
Esomus metallicus,,"Native to Southeast Asia, this slender barb is recognized by its shiny metallic scales and long barbels extending past its pectoral fins. It grows to about 6–7 cm and is fast-moving, often seen darting across aquariums."
Cobitis taenia,Spined loach,"A bottom-dwelling fish found in Europe, with a slender body covered in mottled patterns. It grows up to 12 cm and has small spines under the eyes used as a defense. Known for burrowing into sand and being active at night."
Pseudorasbora parva,Stone moroko,"A small invasive cyprinid from East Asia, now widespread in Europe. Silver-gray with a dark lateral stripe, it grows up to 10 cm. Highly adaptable and reproduces rapidly, often outcompeting native fish."
Corydoras paleatus,Peppered corydoras,"A peaceful armored catfish from South America, growing up to 7 cm. It has mottled gray and black patterns resembling “pepper.” A bottom-dweller that scavenges for food, usually kept in groups in aquariums."
Poecilia vivipara,,"A livebearing fish from South America, usually 4-6 cm long. It tolerates a wide range of salinities and feeds on mosquito larvae, making it useful in mosquito control."
Chirostoma jordani,Charal,"Endemic to Lake Pátzcuaro, Mexico. Slender, silvery body reaching 20 cm. Economically important as food fish but threatened by habitat degradation."
Parambassis ranga,Indian glassy fish,"Small freshwater fish with a transparent body, native to South Asia. Grows up to 8 cm and is popular in aquariums."
Danio albolineatus,Pearl danio,"A small, fast-swimming cyprinid with iridescent pinkish-blue scales. Native to Southeast Asia, grows up to 6 cm, peaceful and hardy."
Rhodeus sinensis,,"A small cyprinid fish (4-6 cm) from East Asia. Known for laying eggs inside freshwater mussels, where embryos develop safely."
Barbodes semifasciolatus,Chinese barb,"Native to Southeast Asia, this fish grows up to 7 cm. Wild form is olive-green with stripes, while the aquarium strain is bright golden."
Anabas testudineus,Climbing perch,"A hardy freshwater fish capable of breathing air and moving short distances on land. Native to South and Southeast Asia, reaching 25 cm."
